Street Address,Neighborhood,Map-Lot,Map,Lot,Land Area,Land Use Code,Land Use Category,Land Use Description,Existing Units,Mixed Use,Group Quarters,Grad Student Housing,Condo,Tax Status,Location 1
42 MT VERNON ST,9,177-74,177,74,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1209750275 42.3869194939)
263 UPLAND RD,9,206-55,206,55,3528,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1285365063 42.3853690631)
32 ROBERTS RD,6,140-80,140,80,2450,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1081676656 42.3766321493)
57 REGENT ST,11,200-57,200,57,11340,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.122958636 42.3892844108)
98 HANCOCK ST,6,117-74,117,74,4553,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1078110577 42.3688821583)
302-308 HARVARD ST,6,117-102,117,102,7316,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.1062658376 42.3697213975)
289 ELM ST,3,82-90,82,90,1563,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0954068687 42.3732776719)
210-212 WESTERN AVE,7,125-117,125,117,1325,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.1105911515 42.3646474514)
35 CHILTON ST,10,233-210,233,210,5492,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.1383326888 42.3823352781)
24 HARDWICK ST,3,39-50,39,50,2956,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0906342598 42.3696974781)
300 MT AUBURN ST,10,241-14,241,14,367205,955,Health,Hospitals & Medical Offic,0,,,,,Other NonTax,POINT (-71.13433136240002 42.3742362466)
86 PLYMOUTH ST,3,78-27,78,27,2494,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0941776185 42.3687892434)
245-247 WASHINGTON ST,4,74-115,74,115,2381,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0965609262 42.36504919)
64 GARFIELD ST,8,155-9,155,9,6699,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1169839646 42.3834614078)
39-41 ELLERY ST,6,135-145,135,145,11946,111,Residential,4-8-UNIT-APT,8,,,,true,,POINT (-71.1107230557 42.3716833097)
34 BUCKINGHAM ST,10,225-49,225,49,10128,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1296105655 42.3797559568)
195 BROOKLINE ST,5,94-10,94,10,2850,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,5,groundfloor,,,true,,POINT (-71.1061798206 42.3593271287)
871 CAMBRIDGE ST,3,36-28,36,28,1075,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.09127626500002 42.3726589553)
6-8 TENNEY ST,11,180-52,180,52,3382,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1211738899 42.3925262134)
72 CLAY ST,11,193-196,193,196,3267,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1344486735 42.3955001263)
18 HOWARD ST,7,125-19,125,19,3333,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1104387822 42.3642820481)
157-175 PLEASANT ST,5,128-68,128,68,91078,112,Residential,>8-UNIT-APT,120,,,,true,,POINT (-71.1138443764 42.3597422232)
123 GORE ST,1,22-132,22,132,171321,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.0835088425 42.3729049732)
71 AVON HILL ST,9,209-6,209,6,10348,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1250721026 42.3852102361)
3 HANCOCK PK,6,115-26,115,26,3395,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.105990391 42.3703940244)
125-127 CHESTNUT ST,5,97-12,97,12,5600,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1097410841 42.357424529)
2532 MASSACHUSETTS AVE,11,189-33,189,33,4391,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.1336387367 42.3995416682)
12 SURREY ST,7,131-36,131,36,2580,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1139454485 42.3685859844)
92 RICE ST,11,196-149,196,149,7550,112,Residential,>8-UNIT-APT,10,,,,,,POINT (-71.1305196965 42.3935727019)
13 ROCKWELL ST,5,127-106,127,106,3920,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1109760036 42.3626167944)
6 EXETER PK,8,154-70,154,70,2421,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1183712384 42.3846674285)
15 WORCESTER ST,4,89-66,89,66,3000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0991734078 42.3668824689)
40 VALENTINE ST,5,94-191,94,191,1231,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1066637264 42.3605903574)
46 CARVER ST,8,149-99,149,99,4266,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1129783027 42.3826435039)
29 LAMBERT ST,1,35-64,35,64,2358,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.08711169210001 42.372239532500004)
56 FRANCIS AVE,8,147-56,147,56,6780,942,Higher Education,Private College,0,,,,,Educ NonTax,POINT (-71.1120841243 42.3806814578)
27 PLYMOUTH ST,3,40-98,40,98,1665,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.0918602311 42.368903035900004)
4 HUMBOLDT ST,9,176-73,176,73,4131,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1205729895 42.3850382472)
45-10 COGSWELL AVE,11,199-130,199,130,1498,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1260791598 42.3900785374)
243 BRATTLE ST,10,250-208,250,208,8572,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1432243035 42.3758652885)
213 THIRD ST,1,27-52,27,52,2654,130,Vacant,RES-DEV-LAND,0,,,,,,POINT (-71.0815822762 42.3674761327)
16 CHALK ST,5,104-149,104,149,2243,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1096601695 42.361658622)
2368 MASSACHUSETTS AVE,11,191-65,191,65,10650,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.1298391066 42.3966303127)
27 MONTGOMERY ST,11,193-141,193,141,6000,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.132841191 42.3942721028)
307 BROADWAY,4,87-137,87,137,5734,031,Commerical w/ Residential,MULTIUSE-COM,1,mixed,,,,,POINT (-71.0999840544 42.3691669538)
12 HUNTING ST,3,36-216,36,216,3939,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0909160129 42.3729727724)
16 NORMAN ST,13,255-66,255,66,2925,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1525874397 42.3756318467)
73 KIRKLAND ST,8,146A-94,146A,94,5756,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1089297806 42.3779857608)
41 GORE ST,1,20-15,20,15,2400,0111,Residential Ground Floor Comm,MXD 4-8-UNIT-AP,5,groundfloor,,,,,POINT (-71.0794586991 42.3718188352)
24 SULLIVAN RD,13,255-38,255,38,4000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1540761644 42.3758285489)
20 CRESCENT ST,8,150-92,150,92,1991,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1153698181 42.3829089864)
160-162 CUSHING ST,13,257-25,257,25,5144,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1526790482 42.379248374)
83 WENDELL ST,8,150-64,150,64,2880,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1137481412 42.3822332292)
65 FRESH POND PKWY,10,249-48,249,48,5474,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1432541941 42.3781394182)
465 MASSACHUSETTS AVE,4,91-191,91,191,3528,326,Commercial,EATING-ESTBL,0,,,,,,POINT (-71.1008752133 42.3640218049)
59 SMITH PL,12,267D-293,267D,293,20694,337,Transportation,PARKING-LOT,0,,,,,,POINT (-71.15116074170001 42.3920829542)
389 COLUMBIA ST,3,80-6,80,6,3450,111,Residential,4-8-UNIT-APT,6,,,,,,POINT (-71.0950422019 42.3724715381)
3 JAMES WAY,3,39-150,39,150,2444,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0893045171 42.3701264563)
182 APPLETON ST,10,230-149,230,149,2869,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.133100302 42.382253373)
360 WALDEN ST,9,229-100,229,100,4553,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.133519571 42.384039422)
27 FAYERWEATHER ST,10,236-24,236,24,15109,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1381488308 42.3783115166)
38 PORTER ST,3,36-78,36,78,2582,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0890869623 42.3734306315)
179 COLUMBIA ST,4,88-32,88,32,2400,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0977125527 42.3677043098)
194 HARVARD ST,4,75-32,75,32,4365,325,Commercial,RETAIL-STORE,0,,,,,,POINT (-71.0977531815 42.366799038)
117 WALKER ST,9,212-57,212,57,5130,934,Education,Public Schools,0,,,,,City NonTax,POINT (-71.1236191285 42.38222749)
203 PEARL ST,5,102-85,102,85,5041,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1082133098 42.3598778712)
84 INMAN ST,6,109-1,109,1,3500,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1018227632 42.3712531472)
22 LEE ST,6,117-35,117,35,2246,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1066754517 42.3685602529)
115 HANCOCK ST,6,116-32,116,32,5130,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.10782077690001 42.3695331466)
13-15 WASHBURN AVE,11,184-33,184,33,3577,130,Vacant,RES-DEV-LAND,0,,,,,,POINT (-71.1316795036 42.3993296675)
18 ST PAUL ST,6,107-119,107,119,2932,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1034916103 42.3680722172)
24 WASHBURN AVE,11,184-80,184,80,3141,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1311774932 42.3992833709)
500 CAMBRIDGE ST,1,23-113,23,113,1560,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.084607278 42.3714617472)
36 SPERIDAKIS TER,5,94-127,94,127,2660,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1064040281 42.3598425333)
1010 MASSACHUSETTS AVE,7,121-6,121,6,27200,112,Residential,>8-UNIT-APT,54,,,,,,POINT (-71.1118846879 42.3691403547)
872 MASSACHUSETTS AVE,7,119-8,119,8,23203,0112,Residential Ground Floor Comm,MXD >8-UNIT-APT,88,groundfloor,,,,,POINT (-71.1078540062 42.3674030584)
222 CONCORD AVE,10,230-69,230,69,5536,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.1319365097 42.3826224691)
33 JACKSON ST,11,193-59,193,59,6000,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.134927294 42.3946706887)
167 COLUMBIA ST,4,88-45,88,45,5749,316,Commercial,WAREHOUSE,0,,,,,,POINT (-71.0979145862 42.3674530962)
62 CLAY ST,11,193-207,193,207,2975,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1344253811 42.3952937736)
183-185 CAMBRIDGE ST,1,20-71,20,71,26900,930,Government,Government Operations,0,,,,,City NonTax,POINT (-71.0787146574 42.3712580231)
56 ELM ST,4,86-99,86,99,1702,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.0978832356 42.368445436)
6 HOLLIS PK,11,196-106,196,106,3200,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1291676499 42.3938340133)
65 SIDNEY ST,5,92-128,92,128,54893,995,Public Open Space,Private Open Space,0,,,,,,POINT (-71.1015825146 42.3615149436)
251 COLUMBIA ST,4,86-107,86,107,36608,112,Residential,>8-UNIT-APT,16,,,,true,,POINT (-71.0966917911 42.3697540749)
203 ALLSTON ST,5,102-146,102,146,2894,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1089094152 42.3591932121)
92 CUSHING ST,13,256-107,256,107,4620,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1521318001 42.3773102193)
39 FAIRMONT ST,5,127-131,127,131,2128,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1110923154 42.3620282519)
137-139 TREMONT ST,3,82-102,82,102,3158,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0968163356 42.3740225964)
LILAC CT,3,40-230,40,230,229,132,Vacant,RES-UDV-LAND,0,,,,,,POINT (-71.0916664233 42.3674039428)
18 HILLIARD ST,10,168-53,168,53,1900,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1234778026 42.374015917)
26 DANA ST,6,115-31,115,31,3760,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1091503297 42.3711581269)
4 BOARDMAN PL,4,76-105,76,105,3842,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.0962388685 42.3668069932)
28 JAY ST,7,123-17,123,17,2100,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1097844694 42.3654438346)
15 RAYMOND ST,9,209-27,209,27,9677,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1249130614 42.3836084891)
CUSHING CT,13,256-106,256,106,66702,112,Residential,>8-UNIT-APT,38,,,,,Authority NonTax,POINT (-71.1543375838 42.3785954178)
94 DUDLEY ST,11,193-114,193,114,1400,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1328637635 42.39563820560001)
18 HILLSIDE AVE,9,211-51,211,51,3600,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1240168843 42.3850959908)
112 BANKS ST,7,131-66,131,66,1650,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1145381976 42.3679767979)
84 ALPINE ST,9,262-61,262,61,3800,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1367138683 42.3855883829)
26C SHEPARD ST,9,173-99,173,99,1816,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.121855476 42.3811724726)
32 TUFTS ST,5,99-24,99,24,5000,111,Residential,4-8-UNIT-APT,5,,,,,,POINT (-71.1120067299 42.3574113682)
134-136 WEBSTER AVE,3,78-90,78,90,3651,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.0935220574 42.3697669551)
342 PUTNAM AVE,5,127-151,127,151,2544,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1132371186 42.361274057200006)
194 PROSPECT ST,4,87-6,87,6,4747,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1001874186 42.3700574794)
12 RINDGE AVE,11,198-40,198,40,7494,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.125564128 42.392364553600004)
57 WALKER ST,9,173-53,173,53,10075,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1224892576 42.3803470409)
88 ALPINE ST,9,262-62,262,62,3800,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1366373086 42.3856832349)
126 TREMONT ST,3,82-88,82,88,1281,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0964483251 42.3736671509)
240 ALLSTON ST,5,102-131,102,131,3312,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1101501711 42.3595624002)
591 PUTNAM AVE,5,96-135,96,135,2136,1014,Residential,SINGLE FAM W/AU,2,,,,,,POINT (-71.1071961145 42.3566676664)
374 CONCORD AVE,10,260-34,260,34,4500,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1377039264 42.3852041529)
353 BROOKLINE ST,5,98-52,98,52,6500,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.110340724 42.3555745428)
57 RINDGE AVE,11,198-35,198,35,4028,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.127170952 42.3927208468)
33-41 WALDEN ST,11,199-98,199,98,32312,112,Residential,>8-UNIT-APT,20,,,,true,,POINT (-71.1246440868 42.3901275136)
23 VERDUN ST,11,195-145,195,145,3200,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1311642852 42.3911280989)
27 GARFIELD ST,8,154-15,154,15,6458,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1183469238 42.3839631497)
372 BROADWAY,6,115-100,115,100,2943,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1051291799 42.370732400200005)
30 FRESH POND PKWY,10,247-93,247,93,10170,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1415343159 42.376745082)
15 SHEPARD ST,9,174-71,174,71,2475,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1212524825 42.3817085661)
315 RINDGE AVE,11,269-27,269,27,6650,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1366109776 42.3939111672)
90 HAMILTON ST,5,96-109,96,109,10678,340,Office,GEN-OFFICE,0,,,,,,POINT (-71.1065751793 42.358339776)
143 CLARK ST,4,76-55,76,55,3927,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.094626499 42.3664692878)
10 AUSTIN PK,6,107-93,107,93,2513,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1038089123 42.3676755016)
1126 CAMBRIDGE ST,3,85-27,85,27,1154,0104,Residential Ground Floor Comm,MXD TWO-FAM-RES,2,groundfloor,,,,,POINT (-71.0961056051 42.3729761924)
27 CLAY ST,11,193-214,193,214,3600,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1338084376 42.394347139900006)
260 NORFOLK ST,4,86-16,86,16,4532,111,Residential,4-8-UNIT-APT,4,,,,,,POINT (-71.097527628 42.3705439562)
250 FRESH POND PKWY,10,266-31,266,31,7251433,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.14947209550002 42.384565165400005)
20 HINGHAM ST,7,130-17,130,17,2347,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1146145168 42.3650082107)
565 MT AUBURN ST,10,251-252,251,252,6040,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1440853904 42.3757667941)
192 AUBURN ST,5,105-27,105,27,3395,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1061446502 42.36404365810001)
395 BROADWAY,6,112-23,112,23,30850,112,Residential,>8-UNIT-APT,62,,,,true,,POINT (-71.106909983 42.3720719451)
86-94 WINTER ST,1,22-46,22,46,6100,111,Residential,4-8-UNIT-APT,4,,,,true,,POINT (-71.0824232103 42.3725646539)
17 ROBERTS RD,6,140-140,140,140,5457,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1091157416 42.37604336690001)
36 HIGHLAND AVE,6,112-47,112,47,15000,112,Residential,>8-UNIT-APT,49,,,,true,,POINT (-71.1056982013 42.3725484847)
85 CUSHING ST,13,254-13,254,13,7500,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.1515566881 42.377251888)
107 WEBSTER AVE,3,78-80,78,80,5173,112,Residential,>8-UNIT-APT,13,,,,,,POINT (-71.09293593810001 42.3693127613)
12 EUSTIS ST,8,150-144,150,144,1867,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1156239756 42.3833941061)
16 PORTER ST,3,36-81,36,81,2582,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.0884957758 42.3733572976)
18 SAVILLE ST,10,230-16,230,16,5000,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1341885742 42.382859048)
344 WALDEN ST,9,229-97,229,97,6553,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1331364252 42.3842847045)
4 THINGVALLA AVE,13,255-15,255,15,2922,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1521728975 42.37612748)
65 WINTER ST,1,22-97,22,97,1772,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.0814598949 42.3728296909)
3 HIGHLAND PK,6,112-52,112,52,3400,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1051566025 42.372929338)
12 SHADY HILL SQ,8,146A-71,146A,71,5394,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1086710283 42.37915559540001)
33 LINE ST,6,141-45,141,45,1722,104,Residential,TWO-FAM-RES,2,,,,true,,POINT (-71.10644752630002 42.377131727)
36 CEDAR ST,11,191-69,191,69,4012,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1306918512 42.3960152014)
148 PEMBERTON ST,11,195-35,195,35,3942,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1295015721 42.3908442421)
238 HURON AVE,10,231-22,231,22,4300,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1336005965 42.3812581257)
14 OLD DEE RD,10,251-235,251,235,7697,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.14535526740002 42.3761422)
33 GURNEY ST,10,236-68,236,68,3425,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1385488021 42.3808704749)
73 GROZIER RD,10,247-142,247,142,6109,101,Residential,SNGL-FAM-RES,1,,,,,,POINT (-71.1417574348 42.3797997549)
90 BRISTOL ST,4,77-59,77,59,11142,920,Public Open Space,Parklands,0,,,,,City NonTax,POINT (-71.0942704071 42.3673744854)
273 WESTERN AVE,7,122-24,122,24,4100,0101,Residential Ground Floor Comm,MXD SNGL-FAM-RE,1,groundfloor,,,,,POINT (-71.1121856124 42.3648462337)
13 STANDISH ST,10,233-205,233,205,5856,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.1386536076 42.3816575484)
45 SACRAMENTO ST,8,150-136,150,136,2506,105,Residential,THREE-FM-RES,3,,,,true,,POINT (-71.1152456157 42.3827286862)
179 APPLETON ST,10,230-20,230,20,8580,105,Residential,THREE-FM-RES,3,,,,,,POINT (-71.1339771338 42.3825191921)
19 FAYETTE ST,6,113-76,113,76,7848,104,Residential,TWO-FAM-RES,2,,,,,,POINT (-71.10400460370002 42.3720720508)
