Data.Measurement.Year,Census.Tract.Code,Gentrified,Eligible,Ineligible,Gent_Label
1990-2000,020303,0,0,0,Ineligible
2000-2010,020303,0,0,0,Ineligible
1990-2000,030100,0,0,0,Ineligible
2000-2010,030100,0,0,0,Ineligible
1990-2000,030200,0,0,0,Ineligible
2000-2010,030200,0,0,0,Ineligible
1990-2000,030300,0,0,0,Ineligible
2000-2010,030300,0,0,0,Ineligible
1990-2000,030400,1,0,0,Gentrified
2000-2010,030400,0,0,1,Ineligible
1990-2000,030500,0,0,0,Ineligible
2000-2010,030500,0,0,0,Ineligible
1990-2000,040100,0,0,0,Ineligible
2000-2010,040100,0,0,0,Ineligible
1990-2000,040200,0,0,0,Ineligible
2000-2010,040200,0,0,0,Ineligible
1990-2000,040300,0,0,0,Ineligible
2000-2010,040300,0,0,0,Ineligible
1990-2000,040401,0,0,0,Ineligible
2000-2010,040401,0,0,0,Ineligible
1990-2000,040600,0,0,0,Ineligible
2000-2010,040600,0,0,0,Ineligible
1990-2000,040801,0,0,0,Ineligible
2000-2010,040801,0,0,0,Ineligible
1990-2000,050101,0,1,0,Eligible
2000-2010,050101,0,1,0,Eligible
1990-2000,050200,0,1,0,Eligible
2000-2010,050200,1,0,0,Gentrified
1990-2000,050300,0,1,0,Eligible
2000-2010,050300,1,0,0,Gentrified
1990-2000,050400,0,1,0,Eligible
2000-2010,050400,0,1,0,Eligible
1990-2000,050500,0,1,0,Eligible
2000-2010,050500,0,1,0,Eligible
1990-2000,050600,0,1,0,Eligible
2000-2010,050600,0,1,0,Eligible
1990-2000,050700,0,1,0,Eligible
2000-2010,050700,0,0,1,Ineligible
1990-2000,050901,0,1,0,Eligible
2000-2010,050901,0,1,0,Eligible
1990-2000,051000,0,1,0,Eligible
2000-2010,051000,0,1,0,Eligible
1990-2000,051101,0,0,0,Ineligible
2000-2010,051101,0,0,0,Ineligible
1990-2000,051200,0,1,0,Eligible
2000-2010,051200,1,0,0,Gentrified
1990-2000,060101,0,0,0,Ineligible
2000-2010,060101,0,0,0,Ineligible
1990-2000,060200,0,0,0,Ineligible
2000-2010,060200,0,0,0,Ineligible
1990-2000,060301,0,0,0,Ineligible
2000-2010,060301,0,0,0,Ineligible
1990-2000,060400,1,0,0,Gentrified
2000-2010,060400,0,0,1,Ineligible
1990-2000,060501,1,0,0,Gentrified
2000-2010,060501,0,0,1,Ineligible
1990-2000,060600,0,0,0,Ineligible
2000-2010,060600,0,0,0,Ineligible
1990-2000,060700,0,0,0,Ineligible
2000-2010,060700,0,0,0,Ineligible
1990-2000,060800,1,0,0,Gentrified
2000-2010,060800,0,0,1,Ineligible
1990-2000,061000,0,0,0,Ineligible
2000-2010,061000,0,0,0,Ineligible
1990-2000,061101,0,1,0,Eligible
2000-2010,061101,0,0,1,Ineligible
1990-2000,061200,0,1,0,Eligible
2000-2010,061200,1,0,0,Gentrified
1990-2000,070101,0,1,0,Eligible
2000-2010,070101,0,0,1,Ineligible
1990-2000,070200,0,0,0,Ineligible
2000-2010,070200,0,0,0,Ineligible
1990-2000,070300,0,0,0,Ineligible
2000-2010,070300,0,0,0,Ineligible
1990-2000,070402,0,1,0,Eligible
2000-2010,070402,0,0,1,Ineligible
1990-2000,070500,0,0,0,Ineligible
2000-2010,070500,0,0,0,Ineligible
1990-2000,070600,0,0,0,Ineligible
2000-2010,070600,0,0,0,Ineligible
1990-2000,070700,0,0,0,Ineligible
2000-2010,070700,0,0,0,Ineligible
1990-2000,070800,0,0,0,Ineligible
2000-2010,070800,0,0,0,Ineligible
1990-2000,070900,0,0,0,Ineligible
2000-2010,070900,0,0,0,Ineligible
1990-2000,071101,0,0,0,Ineligible
2000-2010,071101,0,0,0,Ineligible
1990-2000,071201,0,0,0,Ineligible
2000-2010,071201,0,0,0,Ineligible
1990-2000,080100,0,1,0,Eligible
2000-2010,080100,0,1,0,Eligible
1990-2000,080300,0,1,0,Eligible
2000-2010,080300,0,1,0,Eligible
1990-2000,080401,0,1,0,Eligible
2000-2010,080401,1,0,0,Gentrified
1990-2000,080500,0,1,0,Eligible
2000-2010,080500,0,1,0,Eligible
1990-2000,080601,0,1,0,Eligible
2000-2010,080601,0,1,0,Eligible
1990-2000,080801,0,0,0,Ineligible
2000-2010,080801,0,0,0,Ineligible
1990-2000,080900,0,0,0,Ineligible
2000-2010,080900,0,0,0,Ineligible
1990-2000,081001,0,0,0,Ineligible
2000-2010,081001,0,0,0,Ineligible
1990-2000,081100,0,1,0,Eligible
2000-2010,081100,0,1,0,Eligible
1990-2000,081200,0,1,0,Eligible
2000-2010,081200,0,0,1,Ineligible
1990-2000,081300,0,0,0,Ineligible
2000-2010,081300,0,0,0,Ineligible
1990-2000,081400,0,1,0,Eligible
2000-2010,081400,0,0,1,Ineligible
1990-2000,081500,0,1,0,Eligible
2000-2010,081500,0,0,1,Ineligible
1990-2000,081700,0,1,0,Eligible
2000-2010,081700,0,1,0,Eligible
1990-2000,081800,0,0,1,Ineligible
2000-2010,081800,1,0,0,Gentrified
1990-2000,081900,0,0,0,Ineligible
2000-2010,081900,0,0,0,Ineligible
1990-2000,082000,0,1,0,Eligible
2000-2010,082000,0,1,0,Eligible
1990-2000,082100,0,0,0,Ineligible
2000-2010,082100,0,0,0,Ineligible
1990-2000,090100,0,0,0,Ineligible
2000-2010,090100,0,0,0,Ineligible
1990-2000,090200,0,1,0,Eligible
2000-2010,090200,0,0,1,Ineligible
1990-2000,090300,0,1,0,Eligible
2000-2010,090300,0,1,0,Eligible
1990-2000,090400,0,1,0,Eligible
2000-2010,090400,0,1,0,Eligible
1990-2000,090600,0,1,0,Eligible
2000-2010,090600,0,1,0,Eligible
1990-2000,090700,0,1,0,Eligible
2000-2010,090700,1,0,0,Gentrified
1990-2000,090901,0,0,0,Ineligible
2000-2010,090901,0,0,0,Ineligible
1990-2000,091001,0,0,0,Ineligible
2000-2010,091001,0,0,0,Ineligible
1990-2000,091100,0,1,0,Eligible
2000-2010,091100,0,1,0,Eligible
1990-2000,091200,0,0,0,Ineligible
2000-2010,091200,0,0,0,Ineligible
1990-2000,091300,0,1,0,Eligible
2000-2010,091300,0,1,0,Eligible
1990-2000,091400,0,1,0,Eligible
2000-2010,091400,0,1,0,Eligible
1990-2000,091500,0,1,0,Eligible
2000-2010,091500,0,0,1,Ineligible
1990-2000,091600,0,1,0,Eligible
2000-2010,091600,0,0,1,Ineligible
1990-2000,091700,0,1,0,Eligible
2000-2010,091700,0,0,1,Ineligible
1990-2000,091800,0,1,0,Eligible
2000-2010,091800,0,1,0,Eligible
1990-2000,091900,0,1,0,Eligible
2000-2010,091900,0,1,0,Eligible
1990-2000,092000,0,1,0,Eligible
2000-2010,092000,0,0,1,Ineligible
1990-2000,092101,0,1,0,Eligible
2000-2010,092101,0,1,0,Eligible
1990-2000,092200,0,0,0,Ineligible
2000-2010,092200,0,0,0,Ineligible
1990-2000,092300,0,1,0,Eligible
2000-2010,092300,0,1,0,Eligible
1990-2000,092400,0,1,0,Eligible
2000-2010,092400,0,0,1,Ineligible
1990-2000,100100,0,1,0,Eligible
2000-2010,100100,0,1,0,Eligible
1990-2000,100200,0,1,0,Eligible
2000-2010,100200,0,1,0,Eligible
1990-2000,100300,0,1,0,Eligible
2000-2010,100300,0,1,0,Eligible
1990-2000,100400,0,0,0,Ineligible
2000-2010,100400,0,0,0,Ineligible
1990-2000,100500,0,1,0,Eligible
2000-2010,100500,0,0,1,Ineligible
1990-2000,100601,0,1,0,Eligible
2000-2010,100601,0,0,1,Ineligible
1990-2000,100603,0,1,0,Eligible
2000-2010,100603,0,0,1,Ineligible
1990-2000,100700,0,1,0,Eligible
2000-2010,100700,0,0,1,Ineligible
1990-2000,100800,0,0,0,Ineligible
2000-2010,100800,0,0,0,Ineligible
1990-2000,100900,0,0,1,Ineligible
2000-2010,100900,0,1,0,Eligible
1990-2000,101001,0,1,0,Eligible
2000-2010,101001,0,1,0,Eligible
1990-2000,101002,0,1,0,Eligible
2000-2010,101002,0,1,0,Eligible
1990-2000,101101,0,1,0,Eligible
2000-2010,101101,0,1,0,Eligible
1990-2000,101102,0,1,0,Eligible
2000-2010,101102,0,0,1,Ineligible
1990-2000,110103,0,1,0,Eligible
2000-2010,110103,0,0,1,Ineligible
1990-2000,110201,0,1,0,Eligible
2000-2010,110201,0,1,0,Eligible
1990-2000,110301,0,0,0,Ineligible
2000-2010,110301,0,0,0,Ineligible
1990-2000,110401,0,1,0,Eligible
2000-2010,110401,0,1,0,Eligible
1990-2000,110403,0,0,0,Ineligible
2000-2010,110403,0,0,0,Ineligible
1990-2000,110501,0,0,0,Ineligible
2000-2010,110501,0,0,0,Ineligible
1990-2000,110502,0,1,0,Eligible
2000-2010,110502,0,0,1,Ineligible
1990-2000,110601,0,0,0,Ineligible
2000-2010,110601,0,0,0,Ineligible
1990-2000,110607,0,0,0,Ineligible
2000-2010,110607,0,0,0,Ineligible
1990-2000,120103,0,0,0,Ineligible
2000-2010,120103,0,0,0,Ineligible
1990-2000,120104,0,0,0,Ineligible
2000-2010,120104,0,0,0,Ineligible
1990-2000,120105,0,0,0,Ineligible
2000-2010,120105,0,0,0,Ineligible
1990-2000,120201,0,1,0,Eligible
2000-2010,120201,0,0,1,Ineligible
1990-2000,120301,0,0,0,Ineligible
2000-2010,120301,0,0,0,Ineligible
1990-2000,120400,0,0,0,Ineligible
2000-2010,120400,0,0,0,Ineligible
1990-2000,120500,1,0,0,Gentrified
2000-2010,120500,0,0,1,Ineligible
1990-2000,120600,0,0,0,Ineligible
2000-2010,120600,0,0,0,Ineligible
1990-2000,120700,0,0,1,Ineligible
2000-2010,120700,1,0,0,Gentrified
1990-2000,130100,0,0,0,Ineligible
2000-2010,130100,0,0,0,Ineligible
1990-2000,130200,0,0,0,Ineligible
2000-2010,130200,0,0,0,Ineligible
1990-2000,130300,0,0,0,Ineligible
2000-2010,130300,0,0,0,Ineligible
1990-2000,130402,0,0,0,Ineligible
2000-2010,130402,0,0,0,Ineligible
1990-2000,130404,0,0,1,Ineligible
2000-2010,130404,0,1,0,Eligible
1990-2000,130406,0,0,1,Ineligible
2000-2010,130406,0,1,0,Eligible
1990-2000,140102,0,1,0,Eligible
2000-2010,140102,0,1,0,Eligible
1990-2000,140105,0,1,0,Eligible
2000-2010,140105,0,0,1,Ineligible
1990-2000,140106,0,1,0,Eligible
2000-2010,140106,0,1,0,Eligible
1990-2000,140107,0,1,0,Eligible
2000-2010,140107,1,0,0,Gentrified
1990-2000,140201,0,1,0,Eligible
2000-2010,140201,0,0,1,Ineligible
1990-2000,140202,0,1,0,Eligible
2000-2010,140202,0,0,1,Ineligible
1990-2000,140300,0,1,0,Eligible
2000-2010,140300,0,1,0,Eligible
1990-2000,140400,0,0,1,Ineligible
2000-2010,140400,0,1,0,Eligible
1990-2000,160101,0,0,0,Ineligible
2000-2010,160101,0,0,0,Ineligible
1990-2000,160200,0,0,0,Ineligible
2000-2010,160200,0,0,0,Ineligible
1990-2000,160300,0,0,0,Ineligible
2000-2010,160300,0,0,0,Ineligible
1990-2000,160400,0,0,0,Ineligible
2000-2010,160400,0,0,0,Ineligible
1990-2000,160501,0,0,0,Ineligible
2000-2010,160501,0,0,0,Ineligible
1990-2000,160502,0,0,0,Ineligible
2000-2010,160502,0,0,0,Ineligible
1990-2000,160601,0,0,0,Ineligible
2000-2010,160601,0,0,0,Ineligible
1990-2000,160602,0,0,0,Ineligible
2000-2010,160602,0,0,0,Ineligible
1990-2000,170100,0,0,0,Ineligible
2000-2010,170100,0,0,0,Ineligible
1990-2000,170200,0,0,0,Ineligible
2000-2010,170200,0,0,0,Ineligible
1990-2000,170300,0,0,0,Ineligible
2000-2010,170300,0,0,0,Ineligible
1990-2000,170400,0,0,0,Ineligible
2000-2010,170400,0,0,0,Ineligible
1990-2000,170501,0,0,0,Ineligible
2000-2010,170501,0,0,0,Ineligible
1990-2000,170502,0,0,0,Ineligible
2000-2010,170502,0,0,0,Ineligible
1990-2000,170601,0,0,0,Ineligible
2000-2010,170601,0,0,0,Ineligible
1990-2000,170701,0,0,0,Ineligible
2000-2010,170701,0,0,0,Ineligible
1990-2000,170702,0,0,0,Ineligible
2000-2010,170702,0,0,0,Ineligible
1990-2000,170800,0,0,0,Ineligible
2000-2010,170800,0,0,0,Ineligible
1990-2000,180101,0,0,0,Ineligible
2000-2010,180101,0,0,0,Ineligible
1990-2000,180200,0,0,0,Ineligible
2000-2010,180200,0,0,0,Ineligible
1990-2000,180301,0,0,0,Ineligible
2000-2010,180301,0,0,0,Ineligible
1990-2000,180400,0,0,0,Ineligible
2000-2010,180400,0,0,0,Ineligible
1990-2000,180500,0,0,0,Ineligible
2000-2010,180500,0,0,0,Ineligible
1990-2000,980101,0,0,0,Ineligible
2000-2010,980101,0,0,0,Ineligible
1990-2000,980300,0,0,0,Ineligible
2000-2010,980300,0,0,0,Ineligible
1990-2000,980700,0,1,0,Eligible
2000-2010,980700,0,0,1,Ineligible
1990-2000,981000,0,0,0,Ineligible
2000-2010,981000,0,0,0,Ineligible
1990-2000,981100,0,1,0,Eligible
2000-2010,981100,0,0,1,Ineligible
1990-2000,981201,0,0,0,Ineligible
2000-2010,981201,0,0,0,Ineligible
1990-2000,981202,0,0,0,Ineligible
2000-2010,981202,0,0,0,Ineligible
1990-2000,981300,0,0,0,Ineligible
2000-2010,981300,0,0,0,Ineligible
1990-2000,981501,0,0,0,Ineligible
2000-2010,981501,0,0,0,Ineligible
1990-2000,981502,0,0,0,Ineligible
2000-2010,981502,0,0,0,Ineligible
1990-2000,981600,0,0,0,Ineligible
2000-2010,981600,0,0,0,Ineligible
1990-2000,981700,0,0,0,Ineligible
2000-2010,981700,0,0,0,Ineligible
1990-2000,981800,0,0,0,Ineligible
2000-2010,981800,0,0,0,Ineligible
1990-2000,990101,0,0,0,Ineligible
2000-2010,990101,0,0,0,Ineligible
